"Site ID","Sector ID","Antenna ID","Port Name","Downlink","Uplink"
"Site_1039","3","3","Port 2","True","True"
"Site_104","1","1","Port 1","False","False"
"Site_104","1","1","Port 2","True","True"
"Site_104","2","2","Port 1","False","False"
"Site_104","2","2","Port 2","True","True"
"Site_104","3","3","Port 1","False","False"
"Site_104","3","3","Port 2","True","True"
"Site_1040","1","1","Port 1","False","False"
"Site_1040","1","1","Port 2","True","True"
"Site_1040","2","2","Port 1","False","False"
"Site_1040","2","2","Port 2","True","True"
"Site_1040","3","3","Port 1","False","False"
"Site_1040","3","3","Port 2","True","True"
"Site_1041","1","1","Port 1","False","False"
"Site_1041","1","1","Port 2","True","True"
"Site_1041","2","2","Port 1","False","False"
"Site_1041","2","2","Port 2","True","True"
"Site_1041","3","3","Port 1","False","False"
"Site_1041","3","3","Port 2","True","True"
"Site_1042","1","1","Port 1","False","False"
"Site_1042","1","1","Port 2","True","True"
"Site_1042","2","2","Port 1","False","False"
"Site_1042","2","2","Port 2","True","True"
"Site_1042","3","3","Port 1","False","False"
"Site_1042","3","3","Port 2","True","True"
"Site_1043","1","1","Port 1","False","False"
"Site_1043","1","1","Port 2","True","True"
"Site_1043","2","2","Port 1","False","False"
"Site_1043","2","2","Port 2","True","True"
"Site_1043","3","3","Port 1","False","False"
"Site_1043","3","3","Port 2","True","True"
"Site_1044","1","1","Port 1","False","False"
"Site_1044","1","1","Port 2","True","True"
"Site_1044","2","2","Port 1","False","False"
"Site_1044","2","2","Port 2","True","True"
"Site_1044","3","3","Port 1","False","False"
"Site_1044","3","3","Port 2","True","True"
"Site_1045","1","1","Port 1","False","False"
"Site_1045","1","1","Port 2","True","True"
"Site_1045","2","2","Port 1","False","False"
"Site_1045","2","2","Port 2","True","True"
"Site_1045","3","3","Port 1","False","False"
"Site_1045","3","3","Port 2","True","True"
"Site_1046","1","1","Port 1","False","False"
"Site_1046","1","1","Port 2","True","True"
"Site_1046","2","2","Port 1","False","False"
"Site_1046","2","2","Port 2","True","True"
"Site_1046","3","3","Port 1","False","False"
"Site_1046","3","3","Port 2","True","True"
"Site_1047","1","1","Port 1","False","False"
"Site_1047","1","1","Port 2","True","True"
"Site_1047","2","2","Port 1","False","False"
"Site_1047","2","2","Port 2","True","True"
"Site_1047","3","3","Port 1","False","False"
"Site_1047","3","3","Port 2","True","True"
"Site_1048","1","1","Port 1","False","False"
"Site_1048","1","1","Port 2","True","True"
"Site_1048","2","2","Port 1","False","False"
"Site_1048","2","2","Port 2","True","True"
"Site_1048","3","3","Port 1","False","False"
"Site_1048","3","3","Port 2","True","True"
"Site_1049","1","1","Port 1","False","False"
"Site_1049","1","1","Port 2","True","True"
"Site_1049","2","2","Port 1","False","False"
"Site_1049","2","2","Port 2","True","True"
"Site_1049","3","3","Port 1","False","False"
"Site_1049","3","3","Port 2","True","True"
"Site_105","1","1","Port 1","False","False"
"Site_105","1","1","Port 2","True","True"
"Site_105","2","2","Port 1","False","False"
"Site_105","2","2","Port 2","True","True"
"Site_105","3","3","Port 1","False","False"
"Site_105","3","3","Port 2","True","True"
"Site_1050","1","1","Port 1","False","False"
"Site_1050","1","1","Port 2","True","True"
"Site_1050","2","2","Port 1","False","False"
"Site_1050","2","2","Port 2","True","True"
"Site_1050","3","3","Port 1","False","False"
"Site_1050","3","3","Port 2","True","True"
"Site_1051","1","1","Port 1","False","False"
"Site_1051","1","1","Port 2","True","True"
"Site_1051","2","2","Port 1","False","False"
"Site_1051","2","2","Port 2","True","True"
"Site_1051","3","3","Port 1","False","False"
"Site_1051","3","3","Port 2","True","True"
"Site_1052","1","1","Port 1","False","False"
"Site_1052","1","1","Port 2","True","True"
"Site_1052","2","2","Port 1","False","False"
"Site_1052","2","2","Port 2","True","True"
"Site_1052","3","3","Port 1","False","False"
"Site_1052","3","3","Port 2","True","True"
"Site_1053","1","1","Port 1","False","False"
"Site_1053","1","1","Port 2","True","True"
"Site_1053","2","2","Port 1","False","False"
"Site_1053","2","2","Port 2","True","True"
"Site_1053","3","3","Port 1","False","False"
"Site_1053","3","3","Port 2","True","True"
