"Site ID","Sector ID","Carrier Name","Cell ID","E-UTRAN Cell ID","Downlink Load (%)","Uplink Load (%)","Maximum Downlink Load (%)","Maximum Uplink Load (%)","Uplink Noise Rise (dB)","FFR Usage (%)","Almost Blank Subframes (%)"
"Site_1074","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1074","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1074","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1075","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1075","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1075","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1076","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1076","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1076","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1077","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1077","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1077","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1078","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1078","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1078","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1079","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1079","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1079","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_108","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_108","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_108","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1080","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1080","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1080","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1081","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1081","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1081","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1082","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1082","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1082","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1083","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1083","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1083","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1084","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1084","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1084","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1085","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1085","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1085","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1086","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1086","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1086","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1087","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1087","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1087","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1088","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1088","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1088","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1089","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1089","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1089","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_109","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_109","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_109","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1090","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1090","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1090","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1091","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1091","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1091","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1092","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1092","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1092","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1093","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1093","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1093","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1094","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1094","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1094","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1095","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1095","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1095","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1096","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1096","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1096","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1097","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1097","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1097","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1098","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1098","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1098","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1099","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1099","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1099","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_11","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_11","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_11","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_110","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_110","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_110","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1100","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1100","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1100","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1101","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1101","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1101","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1102","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1102","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1102","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1103","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1103","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
