"Site ID","BTS Name","MCC","MNC","Maximum Pooled Throughput (Mbps)","eNodeB ID","Base Station Type"
"Site_119","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1190","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1191","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1192","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1193","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1194","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1195","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1196","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1197","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1198","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1199","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_12","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_120","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1200","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1201","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1202","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1203","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1204","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1205","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1206","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1207","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1208","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1209","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_121","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1210","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1211","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1212","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1213","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1214","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1215","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1216","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1217","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1218","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1219","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_122","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1220","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1221","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1222","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1223","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1224","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1225","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1226","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1227","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1228","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1229","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_123","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1230","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1231","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1232","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1233","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1234","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1235","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1236","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1237","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1238","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1239","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_124","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1240","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1241","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1242","LTE FDD","0","0","100","","LTE FDD_BTS_1"
