"Site ID","Sector ID","Antenna ID","MIMO Group","Horizontal Beamwidth","Vertical Beamwidth","Link Configuration ID","Cable Length (m)","Power Split (%)","Downlink Beamforming Configuration","Uplink Beamforming Configuration"
"Site_104","1","1","1","65","62","Default","25","100","None","None"
"Site_104","2","2","1","65","62","Default","25","100","None","None"
"Site_104","3","3","1","65","62","Default","25","100","None","None"
"Site_1040","1","1","1","65","62","Default","25","100","None","None"
"Site_1040","2","2","1","65","62","Default","25","100","None","None"
"Site_1040","3","3","1","65","62","Default","25","100","None","None"
"Site_1041","1","1","1","65","62","Default","25","100","None","None"
"Site_1041","2","2","1","65","62","Default","25","100","None","None"
"Site_1041","3","3","1","65","62","Default","25","100","None","None"
"Site_1042","1","1","1","65","62","Default","25","100","None","None"
"Site_1042","2","2","1","65","62","Default","25","100","None","None"
"Site_1042","3","3","1","65","62","Default","25","100","None","None"
"Site_1043","1","1","1","65","62","Default","25","100","None","None"
"Site_1043","2","2","1","65","62","Default","25","100","None","None"
"Site_1043","3","3","1","65","62","Default","25","100","None","None"
"Site_1044","1","1","1","65","62","Default","25","100","None","None"
"Site_1044","2","2","1","65","62","Default","25","100","None","None"
"Site_1044","3","3","1","65","62","Default","25","100","None","None"
"Site_1045","1","1","1","65","62","Default","25","100","None","None"
"Site_1045","2","2","1","65","62","Default","25","100","None","None"
"Site_1045","3","3","1","65","62","Default","25","100","None","None"
"Site_1046","1","1","1","65","62","Default","25","100","None","None"
"Site_1046","2","2","1","65","62","Default","25","100","None","None"
"Site_1046","3","3","1","65","62","Default","25","100","None","None"
"Site_1047","1","1","1","65","62","Default","25","100","None","None"
"Site_1047","2","2","1","65","62","Default","25","100","None","None"
"Site_1047","3","3","1","65","62","Default","25","100","None","None"
"Site_1048","1","1","1","65","62","Default","25","100","None","None"
"Site_1048","2","2","1","65","62","Default","25","100","None","None"
"Site_1048","3","3","1","65","62","Default","25","100","None","None"
"Site_1049","1","1","1","65","62","Default","25","100","None","None"
"Site_1049","2","2","1","65","62","Default","25","100","None","None"
"Site_1049","3","3","1","65","62","Default","25","100","None","None"
"Site_105","1","1","1","65","62","Default","25","100","None","None"
"Site_105","2","2","1","65","62","Default","25","100","None","None"
"Site_105","3","3","1","65","62","Default","25","100","None","None"
"Site_1050","1","1","1","65","62","Default","25","100","None","None"
"Site_1050","2","2","1","65","62","Default","25","100","None","None"
"Site_1050","3","3","1","65","62","Default","25","100","None","None"
"Site_1051","1","1","1","65","62","Default","25","100","None","None"
